Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
M2U_TS5,Chrome 111.0.0.0,,,2023-03-21 18:15:13,2023-03-21 18:17:10,1m - 57.282s,PASSED
,,,,,,,
Test Cases/Web Login/Transfer_OpenThirdParty,Chrome 111.0.0.0,,,2023-03-21 18:15:14,2023-03-21 18:17:10,1m - 55.617s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-21 18:15:15,2023-03-21 18:15:22,6.893s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-21 18:15:22,2023-03-21 18:15:23,0.648s,PASSED
"navigateToUrl(""https://www.maybank2u.com.my/home/m2u/common/login.do"")",Chrome 111.0.0.0,,,2023-03-21 18:15:23,2023-03-21 18:15:48,25.362s,PASSED
getPageHeight(),Chrome 111.0.0.0,,,2023-03-21 18:15:48,2023-03-21 18:15:48,0.077s,PASSED
getPageWidth(),Chrome 111.0.0.0,,,2023-03-21 18:15:48,2023-03-21 18:15:49,0.042s,PASSED
"setText(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/input_Humanising Financial Services_username""), findTestData(""DevOps"").getValue(1, 1))",Chrome 111.0.0.0,,,2023-03-21 18:15:49,2023-03-21 18:15:51,2.429s,PASSED
"click(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/button_LOGIN""))",Chrome 111.0.0.0,,,2023-03-21 18:15:51,2023-03-21 18:15:52,0.670s,PASSED
"click(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/button_YES""))",Chrome 111.0.0.0,,,2023-03-21 18:15:52,2023-03-21 18:15:57,5.357s,PASSED
"setText(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/input_Hello_my-password-input""), findTestData(""DevOps"").getValue(2, 1))",Chrome 111.0.0.0,,,2023-03-21 18:15:57,2023-03-21 18:15:58,1.308s,PASSED
delay(5),Chrome 111.0.0.0,,,2023-03-21 18:15:58,2023-03-21 18:16:03,5.081s,PASSED
"click(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/span_LOGIN""))",Chrome 111.0.0.0,,,2023-03-21 18:16:03,2023-03-21 18:16:04,0.584s,PASSED
delay(4),Chrome 111.0.0.0,,,2023-03-21 18:16:04,2023-03-21 18:16:08,4.025s,PASSED
takeScreenshot(),Chrome 111.0.0.0,,,2023-03-21 18:16:08,2023-03-21 18:16:09,0.977s,PASSED
"click(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/a_MY ACCOUNTS""))",Chrome 111.0.0.0,,,2023-03-21 18:16:09,2023-03-21 18:16:10,0.747s,PASSED
delay(2),Chrome 111.0.0.0,,,2023-03-21 18:16:10,2023-03-21 18:16:12,2.017s,PASSED
"click(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/a_PAY  TRANSFER""))",Chrome 111.0.0.0,,,2023-03-21 18:16:12,2023-03-21 18:16:12,0.764s,PASSED
delay(2),Chrome 111.0.0.0,,,2023-03-21 18:16:12,2023-03-21 18:16:14,2.010s,PASSED
"click(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/span_x""))",Chrome 111.0.0.0,,,2023-03-21 18:16:14,2023-03-21 18:16:15,0.658s,PASSED
"click(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/div_TRANSFER""))",Chrome 111.0.0.0,,,2023-03-21 18:16:15,2023-03-21 18:16:16,0.991s,PASSED
delay(2),Chrome 111.0.0.0,,,2023-03-21 18:16:16,2023-03-21 18:16:18,2.021s,PASSED
"click(findTestObject(""Object Repository/Web Login/Page_Maybank2u  Maybank Malaysia/div_Own Accounts""))",Chrome 111.0.0.0,,,2023-03-21 18:16:18,2023-03-21 18:16:19,0.649s,PASSED
delay(2),Chrome 111.0.0.0,,,2023-03-21 18:16:19,2023-03-21 18:16:21,2.009s,PASSED
