Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MAE_TS2,,,,2023-03-21 18:24:37,2023-03-21 18:26:04,1m - 27.079s,PASSED
,,,,,,,
Test Cases/Mobile TC/MAE Login,,,,2023-03-21 18:24:38,2023-03-21 18:26:04,1m - 26.284s,PASSED
"startApplication(""/users/mosaj/Documents/GitHub/MAE-M2U-TestCloud/MAE.apk"", false)",,,,2023-03-21 18:24:39,2023-03-21 18:24:39,0.008s,NOT_RUN
"startExistingApplication(""com.maybank2u.life"", CONTINUE_ON_FAILURE)",,,,2023-03-21 18:24:39,2023-03-21 18:25:02,22.572s,PASSED
delay(3),,,,2023-03-21 18:25:02,2023-03-21 18:25:05,3.255s,PASSED
takeScreenshot(),,,,2023-03-21 18:25:05,2023-03-21 18:25:06,0.886s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Maybank2u""), 0)",,,,2023-03-21 18:25:06,2023-03-21 18:25:06,0.659s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Maybank2u""), 0)",,,,2023-03-21 18:25:06,2023-03-21 18:25:07,0.406s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Enter your 6-digit PIN""), 0)",,,,2023-03-21 18:25:07,2023-03-21 18:25:08,1.112s,PASSED
takeScreenshot(),,,,2023-03-21 18:25:08,2023-03-21 18:25:08,0.394s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - 1""), 0)",,,,2023-03-21 18:25:08,2023-03-21 18:25:09,0.389s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - 1""), 0)",,,,2023-03-21 18:25:09,2023-03-21 18:25:10,1.714s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - 1""), 0)",,,,2023-03-21 18:25:10,2023-03-21 18:25:12,1.697s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - 1""), 0)",,,,2023-03-21 18:25:12,2023-03-21 18:25:14,1.668s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - 1""), 0)",,,,2023-03-21 18:25:14,2023-03-21 18:25:16,1.704s,PASSED
